EMPIRE_BM_TECH_1	Black Market Items available at Empire tech level one.	На черном рынке доступны технологии Империи первого уровня.
TEXT_PLANET_HOTH_INFO_POP	None	Нет
TEXT_PLANET_HOTH_INFO_TAC	Ground bases are undetectable due to Hoth’s distant location.	Наземные базы замаскированы благодаря отдаленному положению Хота.
TEXT_PLANET_HOTH_INFO_TER	caves, frozen plains, mountain ranges	Пещеры, арктическая пустыня, горные массивы
TEXT_PLANET_HOTH_INFO_WEA	Clear, Snow, Blizzard	Ясно, снег, буран
TEXT_PLANET_HOTH_INFO_WL	Tauntauns, Wampas	Таунтауны, вампа
TEXT_PLANET_HYPORI_ENCYC	Production Time Reduction (ground vehicles): While this planet is controlled, all ground vehicles take 25% less time to build	Снижение времени производства (наземная техника): пока эта планета под вашим контролем, производство всей наземной техники занимает на 25% меньше времени
TEXT_PLANET_HYPORI_INFO_ADV	Production Time Reduction (ground vehicles)	Снижение времени производства: наземная техника
TEXT_PLANET_HYPORI_INFO_HIS	Located in the Outer Rim, Hypori is a temperate world rich with minerals, but has no intelligent life. After the Battle of Naboo, the Republic passed strict laws that severely hampered the manufacture and distribution of battle droid armies. In secret, the leaders of the Baktoid Armor Workshop sponsored a colonial effort transporting an entire Geonosian hive to Hypori to build a new hidden foundry for the Trade Federation’s battle droid armies. Though the tough bedrock and soil proved difficult to assimilate into a true and proper hive-mound, the Geonosian workers nonetheless turned the planet into a massive foundry, churning out battle droids in preparation for the Clone Wars to come. 	Хайпори находится во Внешнем круге. На планете преобладает умеренный климат, она богата минералами, но разумной жизни на ней нет. После битвы за Набу Республика приняла строжайшие законы, которые сильно затруднили производство и распространение боевых дроидов. Тогда руководство оружейной корпорации Бактоид тайно финансировало операцию по транспортировке целого улья геонозиан на Хайпори с целью создания нового секретного производства боевых дроидов Торговой федерации. Несмотря на то, что твердые почвы Хайпори плохо подходят для строительства ульев, рабочим геонозиан удалось превратить планету в огромную фабрику по производству боевых дроидов перед грядущими Войнами клонов.
TEXT_PLANET_HYPORI_INFO_POP	None	Нет
TEXT_PLANET_HYPORI_INFO_TAC	While this planet is controlled, all ground vehicles take 25% less time to build	Пока эта планета под вашим контролем, строительство всей наземной техники занимает на 25% меньше времени.
TEXT_PLANET_HYPORI_INFO_TER	Temperate	Равнины, горы
TEXT_PLANET_HYPORI_INFO_WEA	Rain	Дождь
TEXT_PLANET_HYPORI_INFO_WL	Windrails, Massiffs	Виндрейлы, массифы
TEXT_PLANET_ILUM_ENCYC	Hero Enhancement (Rebel): Rebellion heroes receive tactical modifiers due to the Ilum crystal cave.	Бонус героев (повстанцы): Герои Восстания получают тактические бонусы благодаря хрустальной пещере Илума.
TEXT_PLANET_ILUM_ENCYC_01	While this planet is controlled, SPMA-Ts cost 20% less to build on all planets.	Если эта планета под вашим контролем, стоимость постройки SPMA-T снижается на 20% на всех планетах.
TEXT_PLANET_ILUM_INFO_ADV	Hero Enhancement: Rebel	Бонус героев: повстанцы
TEXT_PLANET_ILUM_INFO_ADV_01	Production Boost	Рост производства (SPMA-T)
TEXT_PLANET_ILUM_INFO_HIS	A mountainous planet located in the Outer Rim, Ilum is a cold icy world with no known settlements. Ilum crystals used in the building of Jedi lightsabers can be found in Ilum's Crystal Cave.  The crystals grow in intricate formations and glow in the dark cave. Unlike lightsaber crystals found elsewhere, Ilum crystals only produce blue and green blades. Force-sensitive individuals can feel vibrations emanating from them creating a sense of power.	Гористая планета Внешнего Круга, Илум - необитаемый ледяной мир. В хрустальной пещере Илума растут кристаллы, используемые в световых мечах джедаев. Кристаллы при росте образуют самые неожиданные формы и светятся в темноте пещеры. В отличие от кристаллов световых мечей из других источников, илумские кристаллы дают только синее и зеленое пламя. Существа, восприимчивые к Силе, могут ощущать вибрации, исходящие от хрустальной пещеры, и черпать из них энергию.
TEXT_PLANET_ILUM_INFO_HIS_01	Ilum is a cold icy world with no known settlements. Ilum crystals used in the building of Jedi lightsabers can be found in Ilum's Crystal Cave.  The crystals grow in intricate formations and glow in the dark cave. Unlike lightsaber crystals found elsewhere, Ilum crystals only produce blue and green blades.	Илум - необитаемый ледяной мир. В хрустальной пещере Илума растут кристаллы, используемые в световых мечах джедаев. Кристаллы при росте образуют самые неожиданные формы и светятся в темноте пещеры. В отличие от кристаллов световых мечей из других источников, илумские кристаллы дают только синее и зеленое пламя.
TEXT_PLANET_ILUM_INFO_POP	None	Нет
TEXT_PLANET_ILUM_INFO_TAC	Rebellion heroes receive tactical modifiers due to the Ilum crystal cave.	Герои Восстания получают тактические бонусы благодаря хрустальной пещере Илума.
TEXT_PLANET_ILUM_INFO_TER	Mountains, ice	Горы, лед
TEXT_PLANET_ILUM_INFO_WEA	Clear, Snow	Ясно, снег
TEXT_PLANET_ILUM_INFO_WL	Gorgodons	Горгодоны
TEXT_PLANET_INFO_CONTROL	Control: 	Принадлежность:
TEXT_PLANET_INFO_INCOME	Income: 	Доход:
TEXT_PLANET_INFO_WEATHER	Weather: 	Погода:
TEXT_PLANET_JABIIM_ENCYC	Restricted Units: Repulsorlift vehicles are rendered inoperable due to electrical storms, acid rain and mud, and therefore cannot be deployed.	Ограничение по отрядам: Антигравитационная техника на планете не работает вследствие гроз, кислотных дождей и грязи, а потому не может быть высажена на поверхность.
TEXT_PLANET_JABIIM_INFO_ADV	None	Нет
TEXT_PLANET_JABIIM_INFO_ADV_01	Restricted Units	Ограничение по отрядам
TEXT_PLANET_JABIIM_INFO_HIS	Located in the Outer Rim, Jabiim is a storm-drenched world with mineral wealth. After years of exploitation, the world that was once famed for its endless rains is now becoming a desert. The moisture that is left in the atmosphere has become terminally polluted, causing sporadic storms of violent electricity and deadly acid rain.  All that's beautiful has been decimated.  Vast strip mines now scar its surface, and its seas and rivers run black with ash and slag. Huge digging and boring machines continue to cut ever deeper into the surface of the dying planet. Jabiim’s harsh atmospheric conditions cause repulsorlift vehicles to break down quickly.	Расположенный во Внешнем Круге, Джабиим богат минералами и штормами. За много лет эксплуатации природных богатств планета, когда-то известная бесконечными ливнями, превратилась в безводную пустыню. Оставшаяся в атмосфере влага безнадежно отравлена, вызывая грозы и смертоносные кислотные дожди. Все прекрасное погибло. Поверхность планеты обезображена шахтами и отвалами, моря и реки почернели от яда и копоти. Гигантские буры продолжают вгрызаться все глубже в тело умирающей планеты. В суровой атмосфере Джабиима антигравы быстро выходят из строя.
TEXT_PLANET_JABIIM_INFO_HIS_01	Jabiim is a storm-drenched world with mineral wealth. After years of exploitation, the world that was once famed for its endless rains is now becoming a desert. The moisture that is left in the atmosphere has become terminally polluted, causing sporadic storms of violent electricity and deadly acid rain.  All that's beautiful has been decimated.  Vast strip mines now scar its surface, and its seas and rivers run black with ash and slag.	Джабиим богат минералами и штормами. За много лет эксплуатации природных богатств планета, когда-то известная бесконечными ливнями, превратилась в безводную пустыню. Оставшаяся в атмосфере влага безнадежно отравлена, вызывая грозы и смертоносные кислотные дожди. Все прекрасное погибло. Поверхность планеты обезображена шахтами и отвалами, моря и реки почернели от яда и копоти.
TEXT_PLANET_JABIIM_INFO_POP	Humans, Jabiimites	Люди, джабиимцы
TEXT_PLANET_JABIIM_INFO_TAC	Repulsorlift vehicles are rendered inoperable due to electrical storms, acid rain and mud, and therefore cannot be deployed.	Антигравитационная техника на планете не работает вследствие гроз, кислотных дождей и грязи, а потому не может быть высажена на поверхность.
TEXT_PLANET_JABIIM_INFO_TER	Desert, seas, rivers	Пустыня, моря, реки
TEXT_PLANET_JABIIM_INFO_WEA	Clear, acid rain	Ясно, кислотные дожди
TEXT_PLANET_JABIIM_INFO_WL	None	Нет
TEXT_PLANET_JABIIM_RESTRICTION	Repulsorlift vehicles including the T2-B tank, 2-M tank and the Scout Trooper are rendered inoperable due to electrical storms, acid rain and mud, and therefore cannot be deployed.	Антигравитационная техника (в т.ч. танки Т2-В, 2-М и разведчики) на планете не работает вследствие гроз, кислотных дождей и грязи, а потому не может быть высажена на поверхность.
TEXT_PLANET_KAMINO_ENCYC	Production Cost Reduction (Infantry): Cost of training for infantry is reduced due to Kaminoan cloning facilities.	Снижение стоимости производства (пехота) Стоимость подготовки пехоты снижена благодаря фабрикам клонов Камино.
TEXT_PLANET_KAMINO_ENCYC_00	Cloning Vats: The price of infantry companies produced on Kamino is reduced to 1 credit, but take 15% longer to build.	Отсеки для клонирования: Цена набора пехоты на Камино составляет 1 кредит за взвод, но процесс занимает на 15% больше времени.
TEXT_PLANET_KAMINO_INFO_ADV	Production Cost Reduction: Infantry	Снижение стоимости производства: пехота
TEXT_PLANET_KAMINO_INFO_ADV_00	The price of infantry companies produced on Kamino is reduced to 1 credit, but take 15% longer to build.	Все пехотные войска создаются на Камино за символическую плату в 1 кредит, но процесс занимает на 15% больше времени.
TEXT_PLANET_KAMINO_INFO_HIS	Kamino is a stormy world in a system of thirteen planets circling an aging star that straggles south of the Rishi Maze. Climatic changes have long since submerged the planet's continents beneath a global ocean. Immense storms lash the surface, with powerful lightning bursts visible from orbit. Beneath this tempest, few features mark its surface save for massive stilt-mounted cities wherein reside the planet's natural inhabitants, the Kaminoans.  Though the Kaminoans turned to genetic sciences to counteract the hardships of the planet's environmental chaos, they are not self-sufficient. They trade their advanced cloning knowledge in exchange for vital raw materials.	Камино - ветреная и дождливая планета в системе из тринадцати планет, обращающихся вокруг остывающей звезды к югу от Лабиринта Риши. Вследствие изменений климата материки планеты давно ушли под воду. В океане свирепствуют штормы, вспышки молнии видны даже с орбиты. Под этим покровом на поверхности нет почти ничего, кроме массивных, построенных на сваях городов местных аборигенов. Хотя каминцы в поисках выживания обратились к генной инженерии, достичь самостоятельности им не удалось. Они обменивают свои знания по клонированию на жизненно необходимое сырье.
TEXT_PLANET_KAMINO_INFO_POP	Kaminoan	Каминцы
TEXT_PLANET_KAMINO_INFO_TAC	Cost of training for infantry is reduced due to Kaminoan cloning facilities.	Стоимость подготовки пехоты снижена благодаря фабрикам клонов Камино.
TEXT_PLANET_KAMINO_INFO_TAC_00	Cloning Vats	Отсеки для клонирования
TEXT_PLANET_KAMINO_INFO_TER	Ocean	Океан
TEXT_PLANET_KAMINO_INFO_WEA	Rain	Дождь
TEXT_PLANET_KAMINO_INFO_WL	Aiwhas, Rollerfish, Sea Eel	Аива, рыба-каток, морской угорь
TEXT_PLANET_KAMINO_INFO_WL_00	Aiwhas, Rollerfish	Аивасы, рыба-шар
TEXT_PLANET_KASHYYYK_ENCYC	Base Stealth (Ground): Ground bases are undetectable due to Wroshyr tree canopies. Wookiee warriors may aid Rebellion forces.	Скрытая база (земля): Наземные базы невидимы за широкими кронами деревьев врошир. Воины вуки могут помогать силам Восстания.
TEXT_PLANET_KASHYYYK_INFO_ADV	Base Stealth: Ground	Скрытая база: Земля
TEXT_PLANET_KASHYYYK_INFO_HIS	Located in the Mid Rim, Kashyyyk is a green and brown jungle planet covered with kilometers-high wroshyr trees. It is the homeworld of the fierce but loyal Wookiees and neighbor to Trandosha the Trandoshan homeworld. The Wookiees inhabit the wroshyr trees in huge cities that are naturally supported by the thick wroshyr tree branches. The wroshyr tree canopies provide a natural cover and lower aerial visibility into the Wookiee cites. Despite this, Trandoshan slavers routinely land and operate on the planet to capture Wookiees for slave labor. Anyone who can provide aid to the enslaved Wookiees may be granted a Wookiee life debt.	Расположенный в Среднем Круге, Кешиик - зелено-коричневая планета джунглей, покрытая деревьями врошир высотой в несколько километров. Это родина свирепых, но верных вуки и планета-сосед Трандоши. Вуки обитают на деревьях врошир в больших городах, которые естественным образом поддерживаются толстыми ветвями деревьев. Кроны деревьев врошир скрывают города вуки от обзора с воздуха. Несмотря на это, работорговцы с Трандоши то и дело приземляются на планету и захватывают вуки в рабство. Перед любым, кто поможет порабощенному вуки, он в пожизненном долгу.
TEXT_PLANET_KASHYYYK_INFO_HIS_01	Kashyyyk is a green and brown jungle planet covered with kilometers-high wroshyr trees and the homeworld of the fierce but loyal Wookiees. The Wookiees inhabit the wroshyr trees in huge cities that are naturally supported by the thick branches. The canopies provide a natural cover and lower aerial visibility into the Wookiee cites. Despite this, Trandoshan slavers routinely land and operate on the planet to capture Wookiees for slave labor.	Кешиик - зелено-коричневая планета джунглей, покрытая деревьями врошир высотой в несколько километров. Это родина свирепых, но верных вуки. Вуки обитают на деревьях врошир в больших городах, которые естественным образом поддерживаются толстыми ветвями деревьев. Кроны деревьев врошир скрывают города вуки от обзора с воздуха. Несмотря на это, работорговцы с Трандоши то и дело приземляются на планету и захватывают вуки в рабство.
TEXT_PLANET_KASHYYYK_INFO_POP	Wookiees	Вуки
TEXT_PLANET_KASHYYYK_INFO_TAC	Ground bases are undetectable due to Wroshyr tree canopies. Wookiee warriors may aid Rebellion forces.	Наземные базы невидимы за широкими кронами деревьев врошир. Воины вуки могут помогать силам Восстания.
TEXT_PLANET_KASHYYYK_INFO_TER	Forest, jungle	Лес, джунгли
TEXT_PLANET_KASHYYYK_INFO_WEA	Clear, rain	Ясно, дожди
TEXT_PLANET_KASHYYYK_INFO_WL	Kinrath, Katarns, Tarentatek	Кинрат, катарн, тарентатек
TEXT_PLANET_KESSEL_ENCYC	High credit value: Additional income provided by spice running.	Высокий доход: Дополнительный доход от добычи специй.
TEXT_PLANET_KESSEL_INFO_ADV	High credit value	Высокий доход
TEXT_PLANET_KESSEL_INFO_HIS	A largely inhospitable and desolate Outer Rim world, Kessel has an abundance of profitable and unique glitterstim spice. In order to support life on Kessel, mining operations have established air-producing factories capable of creating a thin atmosphere. The mines themselves are located far below Kessel's barren surface. Prisoners are often forced to labor ceaselessly in the dark mines, where they can fall prey to energy spiders and other dangers. Automated workers have recently begun replacing the prison labor force.  Smugglers participating in the Kessel Run provide additional income in order to avoid unnecessary Imperial entanglements.	Пустынный и суровый мир Внешнего Круга, Кессель не был бы никому нужен, если бы не блеск - уникальный и пользующийся большим спросом легкий наркотик, используемый как приправа. Так Кессель превратился в галактическую каторгу. Для жизнеобеспечения администрация шахт построила кислородные заводы, создающие тонкую атмосферу. Сами шахты находятся глубоко под землей. Заключенные работают в темных забоях практически без отдыха, мало кому удается протянуть несколько лет. В последнее время каторжников стали понемногу заменять роботами. Заходящие на Кессель контрабандисты приносят системе дополнительный доход в форме взяток.
TEXT_PLANET_KESSEL_INFO_HIS_01	A largely inhospitable and desolate Outer Rim world, Kessel has an abundance of profitable and unique glitterstim spice. In order to support life on Kessel, mining operations have established air-producing factories capable of creating a thin atmosphere. The mines themselves are located far below Kessel's barren surface. Prisoners are often forced to labor ceaselessly in the dark mines, where they can fall prey to energy spiders and other dangers.	Пустынный и суровый мир Внешнего Круга, Кессель не был бы никому нужен, если бы не блеск - уникальный и пользующийся большим спросом легкий наркотик, используемый как приправа. Так Кессель превратился в галактическую каторгу. Для жизнеобеспечения администрация шахт построила кислородные заводы, создающие тонкую атмосферу. Сами шахты находятся глубоко под землей. Заключенные работают в темных забоях практически без отдыха, мало кому удается протянуть несколько лет.
TEXT_PLANET_KESSEL_INFO_POP	Human, many alien species	Люди, множество других разумных рас
TEXT_PLANET_KESSEL_INFO_TAC	Additional income provided by spice running.	Дополнительный доход от добычи специй.
TEXT_PLANET_KESSEL_INFO_TER	Alkali flats, barren, rocky mountains	Щелочные равнины, пустоши, скалистые горы
TEXT_PLANET_KESSEL_INFO_WEA	Cold and dry	Холодный, сухой
TEXT_PLANET_KESSEL_INFO_WL	Energy Spiders	Энергопауки
TEXT_PLANET_KORRIBAN_ENCYC	Hero Enhancement (Empire): Imperial heroes receive tactical modifiers due to the dark side force energy here.	Бонус героев (Империя): Герои Империи получают тактические бонусы от энергии Темной стороны Силы.
TEXT_PLANET_KORRIBAN_ENCYC_01	While this planet is controlled, 2-M Repulsor Tanks cost 20% less to build on all planets.	Если эта планета под вашим контролем, стоимость постройки танков 2-М снижается на 20% на всех планетах.
TEXT_PLANET_KORRIBAN_INFO_ADV	Hero Enhancement: Empire	Бонус героев: Империя
TEXT_PLANET_KORRIBAN_INFO_ADV_01	Production Boost	Рост производства (Танк-антиграв 2-М)
TEXT_PLANET_KORRIBAN_INFO_HIS	A hidden Outer Rim world in the Horuset system that has served as a Sith burial planet for several millennia, Korriban is a mountainous planet littered with dry river beds, canyons, tombs and ruins. Korriban is the ancient homeworld of the Sith, for centuries and now a haunting ground for the fallen Sith Lords. The Sith Lords are interred within great temples located in the Valley of the Dark Lords on Korriban. The tombs are designed to focus and amplify dark-side energy, which permeates the entire valley. Each temple is guarded by strange and brutal dark side beasts and human skeletons that are activated through a combination of machinery and Sith magic. It is said that Korriban is a great source of power.	Потаенный мир Внешнего Круга в системе Хорусет, уже несколько тысяч лет служащий местом погребения ситхов, Корибан - гористая планета, покрытая сухими руслами рек, каньонами, усыпальницами и руинами. Это древняя родина ситхов, по которой бродят духи мертвых лордов. Ситхов хоронят в больших храмах, расположенных в Долине Темных Лордов. Усыпальницы спроектированы так, чтобы фокусировать и усиливать энергию Темной Стороны, охватывая всю долину. На страже каждого храма стоят чудовищные порождения Темной Стороны и человеческие скелеты, оживленные комбинацией механики и магии ситхов. Говорят, что Корибан - великий источник энергии.
TEXT_PLANET_KORRIBAN_INFO_HIS_01	Korriban is a mountainous planet littered with dry river beds, canyons, tombs and ruins. It is the ancient homeworld of the Sith, and now a haunting ground for the fallen Sith Lords who are interred within great temples located in the Valley of the Dark Lords. The tombs are designed to focus and amplify dark-side energy, which permeates the entire valley.	Потаенный мир, уже несколько тысяч лет служащий местом погребения ситхов, Корибан - гористая планета, покрытая сухими руслами рек, каньонами, усыпальницами и руинами. Это древняя родина ситхов, по которой бродят духи мертвых властителей, похороненных в больших храмах в Долине Темных Лордов. Усыпальницы спроектированы так, чтобы фокусировать и усиливать энергию Темной Стороны, охватывая всю долину.
TEXT_PLANET_KORRIBAN_INFO_POP	None	Нет
TEXT_PLANET_KORRIBAN_INFO_TAC	Imperial heroes receive tactical modifiers due to the dark side force energy here.	Герои Империи получают тактические бонусы от энергии Темной стороны Силы.
TEXT_PLANET_KORRIBAN_INFO_TER	Mountains, canyons, dry riverbeds, tombs, ruins	Горы, расщелины, сухие русла рек, склепы, развалины
TEXT_PLANET_KORRIBAN_INFO_WEA	Dry	Сухой
TEXT_PLANET_KORRIBAN_INFO_WL	Sith Lord spirits, Guardian tuk'ata	Духи лордов ситхов, стражи- тук'ата
TEXT_PLANET_KUAT_ENCYC	Production Time Reduction (Capital Ships): Capital class ship production time reduced due to Kuat Drive Yards construction processes.	Снижение времени производства (линейные корабли): Время производства линейных кораблей снижено вследствие оптимизации производства на верфях Куата.
TEXT_PLANET_KUAT_ENCYC_01	While this planet is controlled, Imperial Star Destroyers cost 20% less to build on all planets.	Если эта планета под вашим контролем, стоимость постройки 'Разрушителей' снижается на 20% на всех планетах.
TEXT_PLANET_KUAT_INFO_ADV	Production Time Reduction: Capital class ships	Снижение времени производства: линейные корабли
TEXT_PLANET_KUAT_INFO_ADV_01	Production Boost	Рост производства (линкоры класса 'Разрушитель')
TEXT_PLANET_KUAT_INFO_HIS	A temperate Core World that is the site of the massive Kuat Drive Yards starship construction facility. Kuat is located in the Kuat sector in the most densely populated section of the galaxy. The planet is covered in expansive forests and plains with generally mild weather. Kuat society is structured by class where the lower and middle classes are often considered not worthy of notice to the elite.  Kuat's upper classes are the families of the legendary Kuat merchant houses including Kuat Drive Yards. KDY's efficient construction processes have increased the speed at which starships are produced and they have become a well known producer of warships throughout the galaxy.	Эта планета Ядра с умеренным климатом - место расположения гигантских орбитальных доков компании 'Верфи Куата'. Куат расположен в одноименном секторе Ядра, в самой густонаселенной части Галактики. Планета покрыта обширными лесами и равнинами, климат большей частью умеренный. В обществе существует жесткая иерархия, причем представители низшего и среднего класса считаются недостойными даже взгляда высших. Знать образуют легендарные семьи куатских купцов, в том числе владельцы Верфей Куата. Благодаря рационализации сборочных процессов Верфи Куата смогли увеличить скорость постройки кораблей и вышли в лидеры военно-судостроительной промышленности Галактики.
TEXT_PLANET_KUAT_INFO_HIS_01	Kuat is a temperate Core World that is the site of the massive Kuat Drive Yards starship construction facility. The planet is covered in expansive forests and plains with generally mild weather. Kuat society is structured by class where the lower and middle classes are often considered not worthy of notice to the elite.  Kuat's upper classes are the families of the legendary Kuat merchant houses including Kuat Drive Yards.	Эта планета Ядра - место расположения гигантских орбитальных доков компании 'Верфи Куата'. Планета покрыта обширными лесами и равнинами, климат большей частью умеренный. В обществе существует жесткая иерархия, причем представители низшего и среднего класса считаются недостойными даже взгляда высших. Знать образуют легендарные семьи куатских купцов, в том числе владельцы Верфей Куата.
TEXT_PLANET_KUAT_INFO_POP	Human	Люди
TEXT_PLANET_KUAT_INFO_TAC	Capital class ship production time reduced due to Kuat Drive Yards construction processes.	Время производства линейных кораблей снижено вследствие оптимизации производства на верфях Куата.
TEXT_PLANET_KUAT_INFO_TER	Forest, plains	Леса, равнины
TEXT_PLANET_KUAT_INFO_WEA	Clear, Rain	Ясно, дожди
TEXT_PLANET_KUAT_INFO_WL	Drebin	Дребин
TEXT_PLANET_LIANNA	Lianna	Лианна
TEXT_PLANET_LIANNA_GEO	Lianna system, Allied Tion sector, Tion Cluster, Outer Rim	Система Лианна, сектор Союз Тиона, Скопление Тион, Внешнее Кольцо
TEXT_PLANET_LIANNA_HIS	Lianna is the fourth planet of the Lianna system in the Allied Tion sector of the Outer Rim Territories. The ecumenopolis is the homeworld of House Santhe and the headquarters of Santhe/Sienar Technologies. Located on the junction of the Perlemian Trade Route, the Cadinth Run and the Shaltin Tunnels. The planet is one of the busiest ports in the Tion Cluster. The planet was sometimes known as Lianna Metro.	Лианна является родиной для Дома Санте и штаба Корпорации Санте. Расположена на Перлемианском торговом пути, вглубь Тиона отходит Кадинтская трасса. Лианна не входила в состав Империи Зима из-за своей малозначимости. Во время Войн Клонов Лианна, под управлением Леди Санте, пыталась сохранять нейтралитет, но в итоге присоединилась к Республике, за что и была атакована Конфедерацией.
TEXT_PLANET_LIANNA_TER	Plains, cities	Равнины, города
TEXT_PLANET_LWHEKK_ENCYC	Control Resistance (All): Base size limited due to Ssi-ruuk hostility toward every species outside their own.	Сопротивление контролю (все): Размер базы ограничен вследствие враждебности сии-рууков ко всем, кроме их самих.
TEXT_PLANET_LWHEKK_INFO_ADV	Control Resistance: All	Сопротивление контролю: Все
TEXT_PLANET_LWHEKK_INFO_HIS	Located in the Unknown Regions, Lwhekk is a tropical, jungle planet littered with volcanoes. Lwhekk is the homeworld of the reptilian Ssi-ruuk and is the center of the Ssi-ruuvi Imperium. Adult Ssi-ruuk have huge, muscular tails extending from behind their massive bodies, and short, well-muscled upper limbs ending in three-clawed, prehensile digits. A rigid code of honor helped shape Ssi-ruuvi society. It stressed that they were superior to all other beings. As resources dwindled on Lwhekk, the Ssi-ruuk developed a process to tap the life energy of the P'w'ecks as a power source. The P'w'ecks, another species that also developed on Lwhekk, were dominated and turned into energy slaves by the Ssi-ruuk.	Расположенный в Неизвестных областях, Лвхекк - тропическая, покрытая джунглями планета с сильной вулканической деятельностью. Это родина разумных рептилий сии-рууков и центр Империи Сии-рууви. Взрослые сии-рууки имеют огромные мускулистые хвосты и короткие мускулистые верхние конечности, заканчивающиеся цепкими когтистыми пальцами. В обществе сии-рууков царит жесткий кодекс чести, один из главных постулатов которого - превосходство сии-рууков над всеми остальными созданиями. Когда ресурсы на Лвхекке начали истощаться, сии-рууки разработали процесс перекачки жизненной энергии себе от п'в'екков - высокоразвитого местного вида. Таким образом п'в'екки стали энергетическими рабами сии-рууков.
TEXT_PLANET_LWHEKK_INFO_POP	Ssi-ruuk	Сии-руук
TEXT_PLANET_LWHEKK_INFO_TAC	Base size limited due to Ssi-ruuk hostility toward every species outside their own.	Размер базы ограничен вследствие враждебности сии-рууков ко всем, кроме их самих.
TEXT_PLANET_LWHEKK_INFO_TER	Jungle, Volcanoes	Джунгли, вулканы
TEXT_PLANET_LWHEKK_INFO_WEA	Clear, Rain	Ясно, дожди
TEXT_PLANET_LWHEKK_INFO_WL	P'w'ecks	П'в'екк
TEXT_PLANET_MAINTENANCE	Organization	Организация
TEXT_PLANET_MANAAN_ENCYC	Tactical Auto-Heal (Infantry): Infantry auto heal due to Kolto healing agent reserves.	Автоматическое лечение (пехота): Автоматическое лечение пехоты вследствие запасов лекарства колто.
TEXT_PLANET_MANAAN_HEAL	Infantry auto-heal during any ground tactical battle on this planet. 	В любом наземном бою на этой планете происходит автоматическое лечение пехоты. 
TEXT_PLANET_MANAAN_INFO_ADV	Heal Infantry	Лечение пехоты
TEXT_PLANET_MANAAN_INFO_HIS	A small Mid Rim planet in an insignificant system, Manaan's most remarkable feature is the calm azure ocean that completely covers its surface. To accommodate off world visitors, the amphibious Selkath have constructed Ahto City, a bustling spaceport floating on the endless ocean's waves. Manaan is known throughout the galaxy for one thing: being the sole producer of kolto, a powerful healing agent harvested from the ocean surface. This one export is so valuable it has made the tiny world into one of the most influential independent planets in the galaxy. Many a battle has been won or lost due to the size of an army's kolto reserves.	Небольшая планета Среднего Круга в малозначительной системе. Главная особенность Манаана - тихий, лазурный океан, покрывающий всю поверхность. Коренные обитатели планеты, амфибии-селкаты построили для других рас город Ахто - оживленный космопорт, качающийся на бескрайней глади океана. Манаан - единственный в Галактике поставщик колто, мощного лекарства, собираемого с поверхности океана. Доходы от экспорта колто столь велики, что превратили крошечную планетку в один из самых влиятельных независимых миров в Галактике. Исход многих битв решили размеры запасов колто в войске.
TEXT_PLANET_MANAAN_INFO_HIS_01	Manaan's most remarkable feature is the calm azure ocean that completely covers its surface. To accommodate off world visitors, the amphibious Selkath have constructed Ahto City, a bustling spaceport floating on the endless ocean's waves. Manaan is known throughout the galaxy for one thing: being the sole producer of kolto, a powerful healing agent harvested from the ocean surface.	Главная особенность Манаана - тихий, лазурный океан, покрывающий всю поверхность. Коренные обитатели планеты, амфибии-селкаты построили для других рас город Ахто - оживленный космопорт, качающийся на бескрайней глади океана. Манаан - единственный в Галактике поставщик колто, мощного лекарства, собираемого с поверхности океана.
TEXT_PLANET_MANAAN_INFO_POP	Selkath	Селкат
TEXT_PLANET_MANAAN_INFO_TAC	Infantry auto heal due to Kolto healing agent reserves.	Автоматическое лечение пехоты вследствие запасов лекарства колто.
TEXT_PLANET_MANAAN_INFO_TER	Ocean	Океан
TEXT_PLANET_MANAAN_INFO_WEA	Clear, Rain	Ясно, дожди
TEXT_PLANET_MANAAN_INFO_WL	None	Нет
TEXT_PLANET_MANDALORE_ENCYC	Production Price Reduction (Mandalorian Units): The cost of Mandalorian units (StarViper Squadron, Crusader-class Gunship, Kedalbe-class Battleship, Canderous Assault Tank) is reduced due to the presence of the Mandal Hypernautics Corporation.	Снижение стоимости производства (мандалорские корабли): Стоимость мандалорских отрядов (истребители Звездная гадюка, канонерка Крестоносец, линкор Кедалбе, штурмовой танк Кандерос) снижена благодаря заводам корпорации МандалМоторс.
TEXT_PLANET_MANDALORE_INFO_ADV	Production Price Reduction (Mandalorian Units)	Снижение стоимости производства (мандалорские корабли)
